Category,Name,Nodes,Tokens,Lost tokens,Length,Tide,Essence,Ds(L∻T),Ds(L∻E),Ds(T∻E),D(L∻T),D(L∻E),D(T/E),R(T/L),R(E/L),R(E/T),Tokens after,Tokens saved,Tb∻Ta
class,NotImplementedExceptionTest,202,259,0,1683,1393,1320,19%,24%,5.4%,0.18855656697009102,0.24175824175824176,0.0538149649834132,0.827688651218063,0.7843137254901961,0.9475951184493898,259,0,0%
class,ExtendedMessageFormatTest,1964,2383,0,20204,13264,11535,41%,55%,14%,0.41472451296761087,0.5462679983616371,0.13944110649622968,0.6565036626410612,0.5709265491981785,0.8696471652593486,2354,29,1.2%
class,StrBuilderTest,10451,14658,0,70468,48911,48842,36%,36%,0.1%,0.3611522964675529,0.36251781074511774,0.0014117213793950058,0.6940880967247545,0.693108928875518,0.9985892743963526,14663,-5,--0.03%
class,FormattableUtilsTest,1135,1881,0,7146,6090,6049,16%,17%,0.7%,0.15956482320942883,0.1662751042061387,0.006755086909959634,0.852225020990764,0.8464875454799888,0.9932676518883415,1881,0,0%
class,WordUtilsTest,2323,3416,40,19831,15347,14894,25%,28%,3.0%,0.2549320598101086,0.2843484521238301,0.02995932674184055,0.7738893651353941,0.7510463415864052,0.9704828305206229,3416,0,0%
class,StrSubstitutorTest,2742,3552,0,26032,19173,17683,30%,38%,8.1%,0.30346200641521953,0.38197415074917074,0.08085522031690905,0.7365165949600492,0.679279348494161,0.9222865487925729,3533,19,0.5%
class,OctalUnescaperTest,236,296,0,2300,1821,1738,23%,28%,4.7%,0.23246784760980344,0.27835562159484895,0.04664231525709469,0.7917391304347826,0.7556521739130435,0.9544206479956068,296,0,0%
class,UnicodeUnpairedSurrogateRemoverTest,90,121,0,837,675,575,21%,37%,16%,0.21428571428571427,0.37110481586402266,0.16,0.8064516129032258,0.6869772998805257,0.8518518518518519,121,0,0%
class,EntityArraysTest,275,348,0,1608,1095,1014,38%,45%,7.7%,0.3795782463928968,0.45308924485125857,0.07681365576102418,0.6809701492537313,0.6305970149253731,0.9260273972602739,348,0,0%
class,NumericEntityUnescaperTest,211,251,0,2143,1676,1585,24%,30%,5.6%,0.24456664048180152,0.29935622317596566,0.05581110088929776,0.7820811945870275,0.7396173588427438,0.9457040572792362,251,0,0%
class,UnicodeEscaperTest,125,142,0,1064,870,787,20%,30%,10%,0.20062047569803515,0.2992976769313884,0.10018105009052504,0.8176691729323309,0.7396616541353384,0.9045977011494253,142,0,0%
class,UnicodeUnescaperTest,116,131,0,1111,843,760,27%,38%,10%,0.2743091095189355,0.37520042757883487,0.10355583281347473,0.7587758775877588,0.684068406840684,0.9015421115065243,131,0,0%
class,NumericEntityEscaperTest,171,191,0,1490,1202,1113,21%,29%,7.7%,0.2139673105497771,0.2896657702650788,0.07688984881209503,0.8067114093959732,0.7469798657718121,0.9259567387687188,191,0,0%
